DateTime,PTemp_C_Max,AirTC_Avg,RH,WS_ms_Avg,TPM1,TPM2.5,TPM10,GeffRef,TempRef,FT_Voltage1,FT_Voltage2,DN_Voltage1,DN_Voltage2,Cycle,Rainfall,Daylight
2022-03-03 10:00:00,28.930333333333333,29.063,31.841833333333334,1.9857,24.333333333333332,35.49166666666667,38.725,288.5608991666667,43.448750000000004,947.125,900.1800000000001,995.395,959.24,5.0,0.0,1.0
2022-03-03 11:00:00,31.233666666666668,30.565833333333334,28.60216666666667,1.6195,21.3,32.05,35.18333333333333,336.054625,50.98591666666667,1023.895,1011.65,1062.87,1046.76,5.0,0.0,1.0
2022-03-03 12:00:00,33.123333333333335,32.485166666666665,23.791999999999998,0.82565,15.533333333333333,23.383333333333333,25.35,353.21415,58.84158333333333,1028.72,1029.895,1070.375,1064.84,5.0,0.0,1.0
2022-03-03 13:00:00,34.76083333333334,33.376666666666665,23.754666666666665,0.6159166666666667,17.441666666666666,25.883333333333333,28.058333333333334,345.6578616666667,61.88008333333333,1009.79,1019.61,1057.63,1053.31,5.0,0.0,1.0
2022-03-03 14:00:00,36.0455,34.195166666666665,20.9405,0.66645,15.375,22.9,24.533333333333335,321.50501833333334,61.42033333333334,985.275,989.065,1028.345,1021.56,5.0,0.0,1.0
2022-03-03 15:00:00,37.051,34.518166666666666,18.457,0.7584333333333333,12.6,18.5,19.966666666666665,270.84241583333335,56.42241666666667,911.94,873.125,924.955,902.99,5.0,0.0,1.0
2022-03-03 16:00:00,36.934999999999995,33.4615,18.986833333333333,0.7495333333333334,9.516666666666667,13.925,15.233333333333333,197.13728583333335,48.04525,661.655,610.57,655.225,621.87,5.0,0.0,1.0
2022-03-03 17:00:00,35.35483333333333,32.2045,19.405166666666666,0.7172333333333333,9.283333333333333,13.8,15.041666666666666,93.22797383333334,38.228500000000004,306.045,279.135,288.425,275.84,5.0,0.0,1.0
2022-03-03 18:00:00,32.6655,30.787166666666668,20.436833333333333,0.22623333333333334,11.633333333333333,17.516666666666666,19.45,10.114877482499999,29.091583333333336,43.235,37.815,37.175,36.655,5.0,0.0,1.0
2022-03-03 19:00:00,30.173000000000002,29.0155,24.057166666666667,0.19886666666666664,20.641666666666666,30.4,33.06666666666667,0.022241441641666658,25.8035,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-03 20:00:00,28.276833333333332,27.645333333333333,27.448,0.26081666666666664,22.316666666666666,32.11666666666667,34.86666666666667,0.00916558089166666,24.66575,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-03 21:00:00,26.799,26.43566666666667,31.140666666666668,0.28473333333333334,25.516666666666666,37.075,40.28333333333333,0.008013533499999996,23.547166666666666,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-03 22:00:00,25.455166666666667,25.415833333333335,33.349333333333334,0.30715,29.35,43.49166666666667,47.50833333333333,0.00898222978333333,22.55575,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-03 23:00:00,24.589333333333332,24.817666666666664,34.82033333333333,0.4038333333333333,36.233333333333334,54.483333333333334,59.7,0.019389086449999992,22.149083333333333,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-04 00:00:00,23.567333333333334,23.416,38.665166666666664,0.24378333333333332,29.975,43.43333333333333,47.208333333333336,0.006850051158333327,20.696666666666665,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-04 01:00:00,22.343833333333336,21.78933333333333,43.20133333333333,1.0272666666666668,31.783333333333335,45.78333333333333,49.61666666666667,0.009286927399999997,19.604833333333332,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-04 02:00:00,20.771833333333333,19.869333333333334,49.14516666666667,1.6572166666666668,45.733333333333334,67.1,72.88333333333334,0.00935028896666666,18.320083333333333,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-04 03:00:00,19.64966666666667,19.459333333333333,50.420833333333334,1.4816833333333332,47.46666666666667,68.925,74.78333333333333,0.00966194218333333,17.796666666666667,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-04 04:00:00,19.122999999999998,19.687166666666666,48.889,2.0696,33.18333333333333,49.25,53.583333333333336,0.008776949324999995,18.12525,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-04 05:00:00,19.164166666666667,19.691666666666666,49.222,1.7036833333333334,27.716666666666665,40.86666666666667,44.45,0.007219263708333329,18.062166666666666,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-03-04 06:00:00,18.605833333333333,18.707,53.01716666666667,1.4024333333333334,31.333333333333332,46.65833333333333,50.65,0.17010321137499998,16.952833333333334,0.16999999999999998,0.15000000000000002,0.04,0.0,5.0,0.0,0.0
2022-03-04 07:00:00,18.075166666666668,18.267166666666665,55.2745,1.1235666666666666,49.15833333333333,72.425,78.55,25.388804208333333,17.799416666666666,83.18,72.305,94.59,85.82,5.0,0.0,1.0
2022-03-04 08:00:00,19.744500000000002,20.015833333333333,51.62416666666666,0.8885666666666666,61.7,92.48333333333333,101.41666666666667,119.13943675,26.26925,395.9,343.61,443.15,396.565,5.0,0.0,1.0
