AirTC_Avg_01,AirTC_Avg_02,AirTC_Avg_03,AirTC_Avg_04,AirTC_Avg_05,AirTC_Avg_06,AirTC_Avg_07,AirTC_Avg_08,AirTC_Avg_09,AirTC_Avg_10,AirTC_Avg_11,AirTC_Avg_12,AirTC_Avg_13,AirTC_Avg_14,AirTC_Avg_15,AirTC_Avg_16,AirTC_Avg_17,AirTC_Avg_18,AirTC_Avg_19,AirTC_Avg_20,AirTC_Avg_21,AirTC_Avg_22,AirTC_Avg_23,AirTC_Avg_24,Daylight_01,Daylight_02,Daylight_03,Daylight_04,Daylight_05,Daylight_06,Daylight_07,Daylight_08,Daylight_09,Daylight_10,Daylight_11,Daylight_12,Daylight_13,Daylight_14,Daylight_15,Daylight_16,Daylight_17,Daylight_18,Daylight_19,Daylight_20,Daylight_21,Daylight_22,Daylight_23,Daylight_24,RH_01,RH_02,RH_03,RH_04,RH_05,RH_06,RH_07,RH_08,RH_09,RH_10,RH_11,RH_12,RH_13,RH_14,RH_15,RH_16,RH_17,RH_18,RH_19,RH_20,RH_21,RH_22,RH_23,RH_24,TPM10_01,TPM10_02,TPM10_03,TPM10_04,TPM10_05,TPM10_06,TPM10_07,TPM10_08,TPM10_09,TPM10_10,TPM10_11,TPM10_12,TPM10_13,TPM10_14,TPM10_15,TPM10_16,TPM10_17,TPM10_18,TPM10_19,TPM10_20,TPM10_21,TPM10_22,TPM10_23,TPM10_24,TPM1_01,TPM1_02,TPM1_03,TPM1_04,TPM1_05,TPM1_06,TPM1_07,TPM1_08,TPM1_09,TPM1_10,TPM1_11,TPM1_12,TPM1_13,TPM1_14,TPM1_15,TPM1_16,TPM1_17,TPM1_18,TPM1_19,TPM1_20,TPM1_21,TPM1_22,TPM1_23,TPM1_24,TPM2.5_01,TPM2.5_02,TPM2.5_03,TPM2.5_04,TPM2.5_05,TPM2.5_06,TPM2.5_07,TPM2.5_08,TPM2.5_09,TPM2.5_10,TPM2.5_11,TPM2.5_12,TPM2.5_13,TPM2.5_14,TPM2.5_15,TPM2.5_16,TPM2.5_17,TPM2.5_18,TPM2.5_19,TPM2.5_20,TPM2.5_21,TPM2.5_22,TPM2.5_23,TPM2.5_24,WS_ms_Avg_01,WS_ms_Avg_02,WS_ms_Avg_03,WS_ms_Avg_04,WS_ms_Avg_05,WS_ms_Avg_06,WS_ms_Avg_07,WS_ms_Avg_08,WS_ms_Avg_09,WS_ms_Avg_10,WS_ms_Avg_11,WS_ms_Avg_12,WS_ms_Avg_13,WS_ms_Avg_14,WS_ms_Avg_15,WS_ms_Avg_16,WS_ms_Avg_17,WS_ms_Avg_18,WS_ms_Avg_19,WS_ms_Avg_20,WS_ms_Avg_21,WS_ms_Avg_22,WS_ms_Avg_23,WS_ms_Avg_24
13.795,13.155833333333334,11.745166666666668,11.026833333333334,10.617,10.1625,9.861666666666668,9.917,11.729,14.2735,16.964833333333335,18.968166666666665,20.659333333333333,21.273000000000003,21.94083333333333,22.166166666666665,21.732666666666667,21.270166666666668,20.086,18.562166666666663,17.0075,15.988666666666669,15.103,14.180166666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.90249999999999,75.05716666666667,81.21533333333333,84.88000000000001,86.345,87.61666666666666,88.31,86.53333333333333,78.5065,70.19616666666667,61.47283333333333,54.14666666666667,45.59966666666666,40.45883333333334,38.1435,37.37866666666666,36.584,39.4185,45.47016666666666,52.693,59.46633333333333,62.61416666666666,64.10666666666667,66.85466666666667,70.03333333333333,81.9,111.35,99.475,103.74166666666666,98.19166666666666,93.38333333333334,139.0,135.65,97.55,63.80833333333333,42.825,24.116666666666667,18.308333333333334,15.983333333333333,15.25,14.616666666666667,18.7,40.45,71.78333333333333,95.75833333333334,94.31666666666666,115.51666666666668,126.23333333333332,44.91666666666666,50.79166666666666,66.73333333333333,60.31666666666667,60.10833333333333,56.375,54.31666666666667,83.50833333333334,84.9,62.18333333333333,40.40833333333333,27.3,15.441666666666666,11.966666666666669,10.483333333333333,9.975,9.591666666666669,12.316666666666666,26.725,48.66666666666666,65.79166666666667,64.51666666666667,79.01666666666667,85.4,64.79166666666667,74.925,100.46666666666668,90.125,93.38333333333334,88.28333333333333,84.05,125.99166666666666,124.24166666666666,89.81666666666666,58.84166666666667,39.73333333333333,22.35,16.875,15.033333333333331,14.266666666666667,13.716666666666669,17.533333333333335,37.78333333333333,67.13333333333334,90.075,88.70833333333333,108.275,118.55,0.1129333333333333,0.4332,1.4852999999999998,1.6049,1.67415,1.4742,1.36805,1.1887333333333332,0.7311333333333334,1.9099166666666667,2.340966666666666,2.778033333333333,2.3347,2.2315166666666664,1.9358333333333333,1.75395,1.783283333333333,1.2185333333333332,0.4530333333333333,0.6280833333333333,0.8875,0.94525,0.6572833333333333,0.8589833333333333
13.201333333333334,12.228833333333334,11.664833333333332,12.1385,12.0495,11.693166666666666,11.511500000000002,11.525333333333332,12.585333333333333,15.055333333333332,17.171,18.792,19.796333333333333,20.482000000000003,20.821,21.69516666666667,21.971666666666668,20.9905,19.504,18.312833333333334,16.919166666666666,16.126333333333335,15.5075,14.065666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2925,72.3515,73.54283333333333,71.81016666666666,75.53616666666667,79.46900000000001,81.91499999999999,82.205,76.69033333333333,68.39,59.17383333333333,51.5125,44.83416666666667,44.56216666666667,44.10416666666666,40.16,38.198,41.00533333333333,49.163,54.939,60.741166666666665,62.40566666666667,63.51366666666667,69.07266666666666,114.05833333333334,111.30833333333334,107.91666666666669,101.0,84.70833333333333,87.825,96.96666666666668,109.825,107.45833333333331,96.35,64.83333333333333,50.458333333333336,31.691666666666663,34.1,36.81666666666667,29.066666666666663,24.78333333333333,27.65833333333333,64.53333333333333,141.59166666666667,146.45,115.95,119.29166666666669,119.95,76.93333333333334,74.575,69.21666666666667,60.94166666666667,49.675,50.516666666666666,55.91666666666666,64.4,65.375,57.36666666666667,37.4,29.941666666666663,19.266666666666666,20.616666666666667,22.98333333333333,18.191666666666663,15.983333333333333,18.366666666666667,42.525,84.89166666666667,93.0,73.975,75.16666666666667,75.16666666666667,106.475,104.075,99.75,91.68333333333334,76.26666666666667,78.89166666666667,86.96666666666667,98.94166666666666,97.41666666666669,87.08333333333333,58.44166666666667,45.73333333333333,29.175,31.183333333333334,34.09166666666667,26.941666666666663,22.916666666666668,25.741666666666667,60.15,128.3,134.75,106.75,109.80833333333334,109.83333333333331,1.2241166666666667,1.279216666666667,1.74375,1.95585,2.0879,2.166783333333333,1.5649333333333333,1.686683333333333,1.7746666666666668,1.8766333333333332,3.0505500000000003,2.7013000000000003,2.545233333333333,2.128783333333333,2.2146833333333333,1.2826833333333334,0.8491,0.8904333333333334,0.1473666666666666,0.1285333333333333,0.0687666666666666,0.1179666666666666,0.4059166666666666,0.6920166666666667
13.2575,11.948833333333331,11.109,10.811,10.513833333333334,10.049333333333331,10.561,11.074833333333334,12.071833333333332,14.8085,16.875833333333333,18.314666666666668,19.095666666666663,19.85533333333333,20.264333333333337,20.67716666666667,20.77766666666667,20.435333333333336,19.379,17.683333333333334,16.210333333333335,15.684666666666669,15.268,14.096666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.37883333333333,77.8055,80.50083333333333,80.43916666666668,80.945,82.76,79.53783333333334,76.445,72.8485,64.984,60.464666666666666,55.3855,51.19233333333333,48.7995,46.37133333333334,42.66816666666667,42.13766666666667,43.20816666666667,46.94383333333334,53.751666666666665,58.868833333333335,59.81216666666667,60.78816666666667,65.41316666666667,126.50833333333334,123.28333333333332,111.76666666666668,108.83333333333331,109.475,112.29166666666669,117.96666666666668,166.39166666666668,142.05,106.51666666666668,93.21666666666668,81.925,67.54166666666667,61.93333333333333,50.31666666666667,43.18333333333333,46.84166666666667,50.9,77.05,105.58333333333331,131.975,131.36666666666667,134.04166666666666,142.31666666666666,77.64166666666667,76.14166666666667,69.08333333333333,67.0,66.525,68.51666666666667,72.41666666666667,102.90833333333332,88.625,64.35,53.36666666666667,46.8,38.94166666666667,36.1,30.08333333333333,26.341666666666665,28.73333333333333,31.275,48.266666666666666,67.08333333333333,84.01666666666667,82.73333333333333,84.24166666666666,88.58333333333333,115.25,112.55833333333334,102.3,99.45,99.55833333333334,102.30833333333334,107.71666666666668,151.85833333333332,130.15,96.9,83.15,73.325,60.86666666666667,56.016666666666666,45.96666666666667,39.708333333333336,42.85833333333333,46.8,70.8,97.5,121.34166666666668,120.98333333333332,122.76666666666668,130.08333333333334,1.1953833333333332,1.719933333333333,1.5013,1.3833833333333334,1.1557333333333333,1.287216666666667,1.2775,1.2215,1.4908666666666666,1.9511666666666665,2.23815,2.5419666666666667,2.494066666666667,2.367366666666667,2.5926666666666667,2.2932166666666665,1.9429333333333332,1.333616666666667,0.5791333333333333,0.6859666666666667,1.0964833333333333,1.0655666666666666,0.8781333333333333,1.1941166666666667
13.7265,12.010333333333334,10.946833333333332,10.513833333333334,9.836166666666664,9.7335,9.9175,9.9995,11.328166666666668,14.202,16.7835,18.482166666666668,19.361833333333333,20.399,21.096833333333333,21.41,21.450166666666668,21.064666666666668,19.712,18.07783333333333,16.213166666666666,15.021833333333332,13.996,13.988666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.26316666666666,72.78016666666666,77.131,77.70599999999999,79.58916666666667,79.55733333333333,78.35133333333333,76.56400000000001,71.40733333333333,65.51133333333333,57.843,51.74366666666666,50.396166666666666,47.729000000000006,44.22133333333333,43.3195,42.3445,42.19916666666666,46.8365,52.42966666666667,58.17133333333334,59.42583333333334,62.30283333333333,61.025,128.3,131.43333333333334,140.89166666666668,133.05833333333334,135.48333333333332,139.91666666666666,130.125,144.35,160.26666666666668,118.875,90.55833333333334,75.15,71.71666666666667,62.45,54.03333333333333,49.141666666666666,44.46666666666667,41.7,51.65,88.10833333333333,122.80833333333334,142.74166666666667,149.43333333333334,132.38333333333333,78.85,80.53333333333333,84.46666666666667,79.025,78.11666666666666,79.79166666666667,75.09166666666667,86.51666666666667,95.98333333333332,69.0,50.766666666666666,42.78333333333333,40.54166666666666,36.04166666666666,31.916666666666668,29.28333333333333,26.85833333333333,25.133333333333333,31.83333333333333,56.083333333333336,78.61666666666666,89.64166666666667,95.4,85.31666666666666,116.94166666666666,119.76666666666668,127.44166666666666,120.04166666666669,120.9,125.14166666666668,116.725,130.35,144.50833333333333,106.50833333333334,80.58333333333333,67.33333333333333,64.225,56.5,49.13333333333333,44.575,40.78333333333333,37.94166666666667,47.13333333333333,81.475,113.15833333333332,130.775,137.58333333333334,122.34166666666668,1.1446666666666667,1.2386166666666667,1.6280333333333334,1.3683833333333333,1.5631166666666667,1.6521,1.6292833333333334,1.6169666666666669,1.4915333333333334,2.2729,2.687316666666667,2.374983333333333,2.235316666666667,1.9387333333333328,1.7835,1.8470833333333332,1.7702166666666668,1.7724666666666666,1.059,1.1104166666666666,1.18205,1.6456000000000002,1.6881166666666667,1.3047
13.205166666666663,12.740333333333332,12.022666666666668,11.504666666666669,10.411833333333334,9.6305,9.863833333333334,9.291333333333334,11.149,14.8915,17.671499999999998,19.235833333333336,20.440166666666663,21.45266666666667,22.072166666666664,22.274,22.401166666666665,21.924333333333333,20.478,18.40983333333333,16.592499999999998,16.010833333333334,15.4385,14.561166666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.60933333333333,65.18366666666667,67.9645,69.35116666666666,73.3775,76.48533333333333,76.162,79.34016666666666,73.79083333333332,63.67166666666667,56.36966666666667,50.71566666666667,46.93716666666667,41.897000000000006,38.37566666666667,35.827666666666666,35.788000000000004,33.2175,38.60683333333333,46.183166666666665,52.89933333333333,53.00683333333333,55.57866666666666,57.4,136.16666666666666,120.8,132.08333333333334,121.86666666666666,118.475,106.03333333333332,109.425,141.275,148.76666666666668,138.45,112.89166666666668,88.25,77.56666666666666,64.375,58.9,52.78333333333333,50.36666666666667,40.79166666666666,58.0,105.43333333333334,141.175,135.16666666666666,141.91666666666666,131.65833333333333,87.175,76.25,81.84166666666667,74.04166666666667,71.93333333333334,63.86666666666667,65.48333333333333,85.28333333333333,88.3,79.06666666666666,62.74166666666667,49.7,43.75,36.94166666666667,34.05,30.841666666666665,29.416666666666668,24.041666666666668,34.983333333333334,66.95,91.55833333333334,86.66666666666667,92.15,85.50833333333334,125.525,110.9,121.00833333333334,110.83333333333331,107.70833333333331,96.38333333333334,99.21666666666668,128.125,134.1,123.21666666666668,100.30833333333334,78.73333333333333,69.075,58.025,53.0,47.891666666666666,45.48333333333333,37.09166666666667,52.91666666666666,96.83333333333331,130.71666666666667,124.55,131.43333333333334,121.825,1.2886833333333334,0.6880000000000001,1.49175,1.3547333333333331,1.77355,1.8796666666666664,1.6920166666666667,1.6261166666666669,1.8854166666666667,1.6345833333333333,2.74305,3.156683333333333,2.8417000000000003,2.058583333333333,1.6840000000000002,1.8061,1.683633333333333,1.7067,0.6487333333333333,0.8378833333333333,0.7481333333333333,0.9122666666666668,0.5724166666666667,1.0890833333333334
14.0385,13.423333333333334,12.171333333333331,10.460333333333333,10.365666666666666,9.736833333333331,9.997166666666669,9.387,10.235,15.162166666666668,17.476166666666664,19.489833333333333,20.902833333333334,22.032833333333333,23.102833333333333,23.521666666666665,23.15683333333333,22.58533333333333,20.8915,19.15483333333333,18.128833333333333,17.842166666666667,15.358166666666667,15.415666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.959833333333336,58.49633333333334,65.05283333333334,73.51583333333333,74.91766666666668,78.92583333333333,79.32266666666666,83.19666666666667,81.10416666666667,65.507,56.903,52.033,48.595,44.8885,41.722,38.45399999999999,38.422,39.11666666666667,45.26866666666667,51.72016666666666,53.9375,53.005,61.89516666666667,62.92216666666666,122.075,122.25,128.46666666666667,132.675,129.16666666666666,135.64166666666668,135.49166666666667,147.68333333333334,176.11666666666667,139.625,104.43333333333334,89.04166666666667,76.1,62.65,56.475,49.28333333333333,48.16666666666666,48.73333333333333,61.95,85.675,130.95,106.01666666666668,125.375,116.24166666666666,77.31666666666666,75.88333333333334,78.85,80.975,77.35,80.18333333333334,77.95,85.46666666666667,102.8,78.90833333333333,58.583333333333336,50.49166666666667,43.8,36.68333333333333,33.18333333333333,29.216666666666665,28.78333333333333,29.3,37.85,52.641666666666666,80.84166666666667,65.38333333333334,77.31666666666666,69.3,112.29166666666669,111.81666666666666,116.86666666666666,120.88333333333334,116.51666666666668,122.30833333333334,121.0,132.53333333333333,158.175,124.38333333333334,92.88333333333334,79.74166666666666,68.45833333333333,56.71666666666667,51.225,44.525,43.81666666666667,44.3,56.63333333333333,78.05833333333334,119.45,96.93333333333334,114.41666666666669,105.26666666666668,1.0269333333333333,1.4490833333333335,1.068,1.6169333333333331,1.5395333333333334,1.4740333333333335,1.6397000000000002,1.5819,1.4127333333333332,2.02605,2.8885,2.501883333333333,2.3411166666666667,2.031033333333333,1.6720666666666666,1.425533333333333,1.7710333333333332,1.8048666666666664,1.3197833333333333,1.0571666666666666,1.2617833333333333,1.446516666666667,1.4141166666666665,1.46745
16.127,14.971,14.529,14.479,14.586833333333336,14.070166666666667,13.510166666666668,13.155833333333334,13.818333333333332,15.826666666666666,17.798833333333334,19.529666666666667,21.256,22.564166666666665,23.5665,24.454,24.0995,23.56583333333333,22.232333333333333,20.609166666666667,19.283,18.67183333333333,17.521333333333335,16.785333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.74466666666666,70.04633333333332,71.77266666666667,72.06966666666668,71.93316666666666,74.28366666666668,77.56133333333334,80.01950000000001,78.1285,71.5815,65.96266666666666,62.318666666666665,58.63433333333333,55.82566666666666,53.19216666666667,49.436,45.529833333333336,45.80133333333333,52.83566666666666,60.1185,65.65783333333333,66.83833333333334,70.84983333333334,71.815,105.83333333333331,114.45833333333331,117.69166666666666,120.68333333333334,124.46666666666668,127.74166666666666,135.10833333333332,145.74166666666667,152.26666666666668,140.23333333333332,132.0,129.21666666666667,123.775,116.65,109.38333333333334,95.25833333333334,76.475,78.88333333333334,105.81666666666666,140.08333333333334,150.55,151.45,157.525,144.14166666666668,59.96666666666667,64.75,66.325,66.98333333333333,68.7,69.975,73.7,79.89166666666667,83.45,76.54166666666667,71.66666666666667,70.48333333333333,67.14166666666667,63.31666666666667,59.91666666666666,52.725,43.31666666666667,45.083333333333336,61.4,81.175,86.025,85.31666666666666,88.38333333333334,79.84166666666667,94.51666666666668,101.93333333333334,104.70833333333331,106.91666666666669,110.36666666666666,112.64166666666668,118.8,128.54166666666666,134.13333333333333,123.45833333333331,116.10833333333332,114.11666666666666,108.94166666666666,102.76666666666668,96.58333333333331,84.55833333333334,68.575,70.71666666666667,94.95,125.325,134.28333333333333,134.45,139.73333333333332,127.28333333333332,1.3381666666666665,1.5932,1.8574666666666664,2.1282666666666668,2.5889,1.7712666666666663,2.0641833333333333,1.9724833333333331,2.4231166666666666,2.464183333333333,2.9649333333333336,3.1664000000000003,1.9285166666666669,1.8946166666666668,1.6974333333333331,1.637133333333333,1.35925,0.9919166666666668,0.67945,1.009966666666667,1.3076166666666666,1.4159499999999998,1.1221833333333333,1.0225666666666666
16.323833333333333,15.7455,15.3425,15.198,14.812166666666666,14.439833333333333,13.9745,13.688833333333331,14.1795,15.993166666666667,18.2075,20.273833333333336,22.0055,23.739,24.96783333333333,25.7015,25.69333333333333,25.351,23.483,22.241,20.5075,19.62816666666667,18.569666666666667,17.622833333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.41366666666666,74.47366666666667,79.07016666666667,81.90666666666667,84.01,84.49666666666667,85.57666666666667,86.13833333333334,83.90333333333334,76.6875,70.285,65.486,61.54,57.911,55.204166666666666,52.6365,50.22133333333333,50.01266666666667,56.7305,61.90816666666667,68.57433333333333,69.933,73.43266666666666,77.13033333333333,123.55,122.2,133.11666666666667,140.1,144.25,147.86666666666667,156.04166666666666,173.10833333333332,174.11666666666667,158.19166666666666,142.6,137.69166666666666,135.05,128.40833333333333,121.84166666666668,111.98333333333332,103.5,99.61666666666666,125.675,171.66666666666666,181.61666666666667,207.91666666666663,208.26666666666668,211.36666666666667,68.75,67.45,72.1,74.80833333333334,76.2,77.56666666666666,81.26666666666667,91.225,92.41666666666669,84.60833333333333,75.8,72.45833333333333,71.16666666666667,68.11666666666666,65.49166666666666,61.8,57.56666666666667,55.675,70.99166666666666,97.43333333333334,102.78333333333332,117.83333333333331,115.78333333333332,116.85,109.46666666666668,108.43333333333334,116.8,122.36666666666666,125.85,128.65,135.16666666666666,150.54166666666666,151.63333333333333,138.44166666666666,124.65833333333332,120.21666666666668,117.81666666666666,112.59166666666668,106.84166666666668,98.85,92.075,88.8,112.11666666666666,152.8,161.30833333333334,184.56666666666663,183.9,186.525,1.4081,1.52305,1.819416666666667,1.9697,1.747083333333333,1.8626333333333331,1.62515,1.1277166666666667,1.3145666666666669,1.8420666666666667,2.375233333333333,2.039266666666667,1.558266666666667,1.087783333333333,1.3394166666666665,1.1629333333333334,1.0883333333333334,0.8070833333333333,0.9336166666666668,0.73205,0.6390333333333333,0.5692833333333334,1.3330166666666663,0.9579833333333332
17.104,16.589333333333332,16.344666666666665,15.410333333333334,14.904833333333332,14.717333333333332,14.131166666666669,14.2235,15.665166666666666,18.090666666666667,20.69516666666667,22.909333333333333,24.25483333333333,25.313,26.062,27.004,27.45133333333333,26.596833333333333,24.6125,23.58083333333333,22.233666666666668,21.039,20.014666666666663,19.30333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,78.67866666666667,79.6365,79.74883333333334,83.98533333333333,87.575,88.02166666666668,89.64166666666667,90.485,86.24,78.85100000000001,71.06099999999999,64.25566666666667,57.561166666666665,53.115,50.74883333333333,44.476,40.04183333333334,40.795,46.0665,48.57283333333333,53.38483333333333,56.7655,58.26866666666667,59.57366666666667,212.3,205.0583333333333,204.26666666666668,211.325,233.225,227.4,218.33333333333331,222.40833333333333,192.08333333333331,159.90833333333333,142.66666666666666,124.81666666666666,108.3,101.45833333333331,92.33333333333331,77.46666666666667,70.1,71.35833333333333,92.18333333333334,108.375,136.58333333333334,207.16666666666663,187.33333333333331,164.675,117.18333333333334,111.76666666666668,111.13333333333334,114.525,124.275,121.08333333333331,117.70833333333331,119.35833333333332,104.05,86.10833333333333,76.71666666666667,67.0,58.25,54.96666666666667,51.10833333333333,43.8,40.41666666666666,41.391666666666666,55.3,63.475,81.675,120.48333333333332,113.25,100.925,187.16666666666663,180.25,179.63333333333333,185.4333333333333,203.83333333333331,198.6,191.54166666666663,194.40833333333333,168.03333333333333,139.74166666666667,125.1,109.43333333333334,94.88333333333334,89.28333333333333,82.025,69.08333333333333,63.1,64.25833333333334,83.85,97.60833333333332,123.35833333333332,185.75,170.025,149.83333333333334,1.19295,1.1587833333333333,1.0673833333333334,1.1698,0.8998833333333334,0.8883833333333333,1.3524333333333334,0.9015833333333332,0.9977833333333332,1.823,1.59655,1.49615,1.855033333333333,1.1607166666666666,1.2257166666666668,0.7504666666666666,0.5771833333333334,0.2772,0.1974,0.0117499999999999,0.0159333333333333,0.0761166666666666,0.2230833333333333,0.2804
17.351833333333335,16.7185,17.299833333333332,16.945833333333333,16.233166666666666,16.064833333333333,15.627833333333331,15.1655,16.375833333333336,18.47533333333333,20.796666666666667,23.175666666666665,24.8265,26.4965,27.470666666666663,29.049666666666667,29.349666666666668,28.482833333333332,25.738166666666665,23.99533333333333,22.15583333333333,21.2935,20.187833333333334,19.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.65733333333334,72.63283333333334,65.9015,68.38366666666667,70.68966666666667,69.81700000000001,70.51866666666666,71.58583333333333,70.86016666666666,68.82816666666666,60.83633333333333,50.15166666666666,46.11466666666667,40.085166666666666,38.92116666666666,34.575500000000005,33.515,37.257666666666665,46.51283333333333,52.463166666666666,59.499833333333335,62.8955,67.14383333333333,67.84016666666666,185.86666666666667,188.25,157.1,150.61666666666667,139.69166666666666,123.73333333333332,134.7,132.63333333333333,131.6,120.20833333333331,106.98333333333332,90.13333333333334,84.58333333333333,69.94166666666666,69.01666666666667,80.10833333333333,95.20833333333331,120.34166666666668,140.26666666666668,176.68333333333334,191.13333333333333,235.9833333333333,231.31666666666663,235.61666666666667,112.05,113.275,93.875,88.66666666666667,81.06666666666666,71.10833333333333,78.16666666666667,77.18333333333334,75.26666666666667,66.75833333333334,59.11666666666667,50.18333333333333,48.55833333333333,40.575,40.81666666666667,48.141666666666666,57.65,72.475,83.71666666666667,103.99166666666666,113.275,138.35,136.925,138.83333333333334,168.23333333333332,170.61666666666667,141.94166666666666,135.91666666666666,125.50833333333334,110.375,120.5,119.15,116.975,106.01666666666668,94.65833333333332,79.78333333333333,75.825,63.0,62.45,72.475,86.33333333333333,108.98333333333332,126.61666666666666,159.35,172.31666666666666,212.01666666666668,208.78333333333333,212.4333333333333,0.6870999999999999,1.0111166666666669,0.9193333333333332,0.9528833333333334,1.149233333333333,1.32105,1.3772666666666666,1.3494666666666668,1.3252833333333334,2.000833333333333,2.4570333333333334,2.395466666666666,1.7806,1.4184333333333332,1.1512166666666666,0.5436666666666666,0.45165,0.2388166666666666,0.22185,0.1215166666666666,0.1883166666666666,0.0561333333333333,0.3061999999999999,0.0544499999999999
